Start time,End time,Transcript,English Translation,translate_claude
205.6,265.0,"จากการคัดเลือกไตวายเรื้อรังโรคหลอดเลือดสมองแตกโลตัลค่ะรวมไปถึงพิการทุกคุณภาพนะคะตัวนี้นะคะรับเงินก้อนเข้ากระเป๋าเลยค่ะทันทีตามทุนประกันถ้าสมมุติว่าทำ 5 แสนบาทก็คือรับไป 500,000 บาทค่ะปิดจบสัญญาไปได้เลยนะคะซึ่งตัวโครงการของเราตัวนี้ค่ะคุณลูกค้าเขามีข้อพิเศษก็คือเขาคุ้มครองมะเร็งค่ะให้คุณลูกค้าตั้งแต่ระยะเริ่มต้นทุกชนิดทุกส่วนของร่างกายอย่างผู้หญิงเราเนาะมะเร็งปากมดลูกมะเร็งเต้านมแบบนี้ค่ะคุณลูกค้าเราเจอระยะเริ่มต้นค่ะเรามีเงินก้อนไล่ให้ก่อนเสมือนเป็นค่าตกใจค่ะอยู่ที่ 125,000 บาทหรือ 125% ของทุนแอปตัวนี้ไปแล้วค่ะคุณลูกค้าไม่ต้องออกต่อหยุดออมทันทีนะคะที่เหลือทางโครงการจะแบ่งเบาภาระต่อให้และยังคงคุ้มครองต่อซึ่งหมายความว่าถ้าภายหลังเกิดลูกกล้ามหรือเป็นอะไรค่ะอีก 3 แสนที่เหลือมาเบิกไปได้หรือไม่ได้เป็นอะไรเลยอยู่จบสัญญาค่ะอีก 3 แสนตรงนี้ก็มาเอากลับคืนไปได้อันนี้ฟังทันเนาะค่ะค่ะแต่ที่สำคัญหากโครงการตัวเนี้ยค่ะแล้วคุ้มครองกรณีเสียชีวิตให้กับคุณลูกค้าทุกกรณีค่ะ","From the selection of chronic kidney failure, stroke, hemorrhagic stroke, as well as all types of disabilities, this one will receive a lump sum of money immediately into your pocket according to the sum insured. If you assume that you make 5 hundred thousand baht, you will receive 500,000 baht. You can close the contract. This project of ours, our customers, has a special thing, that is, they protect against cancer for our customers from the beginning stages, every type, every part of the body. For example, women, we are dealing with cervical cancer, cancer. Breasts like this, our customers are in the beginning stages. We have a lump sum of money to give you first, as if it were a shock value. It's at 125,000 baht or 125% of the capital of this app. Customers don't have to go out and stop saving immediately. The remaining 300,000 will be shared by the project and will continue to provide protection, which means that if later you have a muscle child or something else, the remaining 300,000 can be withdrawn or you don't get anything at the end of the contract, another 300,000. You can come and take it back. This one is timely. But most importantly, if this project is like this, it will provide protection in case of death to all customers.",NA
265.6,271.7,"ไม่ว่าจะเป็นอุบัติเหตุโรคร้ายแรงโรคภัยไข้เจ็บทั่วไปภายธรรมชาติก็คือเราคุ้มครองให้ 500,000 บาทเช่นเดียวกันค่ะ","Whether it's an accident, serious illness, general illness of nature, we also cover 500,000 baht.","Whether it's an accident, severe illness, common illness or natural disaster, we protect you for 500,000 baht as well."
273.3,332.9,"แล้วตัวนี้ค่ะคุณลูกค้าสามารถเลือกเก็บออมได้จะออม 5 ปี 10 ปี 20 ปีค่ะสูงสุดไม่เป็นอะไรค่ะอยู่จบสัญญาก็คือรับเงินกลับเลยค่ะ 500,000 บาทรวมผลประโยชน์กลับคืนไปนะคะซึ่งโครงการตัวนี้ค่ะคุณลูกค้าเรามีความคุ้มครองให้คุณลูกค้ายาวๆเลยถึง 90 ปีนะคะเหมือนทำตัวเดียวค่ะคุณลูกค้าแต่ว่ามีความคุ้มครองไปเรื่อยๆนะคะเหมือนเราเก็บออมให้กับตัวเองค่ะไม่เป็นอะไรคุณลูกค้าก็รับเงินก้อนคืนกลับไปและอีกอย่างโครงการของเราค่ะคุณลูกค้าตัวนี้ไม่มีการปรับเพิ่มนะคะเรทการออมนะคะจะเป็นเรทคงที่ไปเรื่อยๆจนจบสัญญาสมมุติคุณลูกค้าอ้อมปรับโครงการตัวนี้ 20 ปีค่ะอย่างปัจจุบันอายุ 34 ปีถูกต้องไหมคะค่ะโดยการออมค่ะถ้าเป็นทุน 500,000 บาทเนาะคุณลูกค้าตกอยู่ที่เดือนละ 1,000 บาท 485 บาทเท่านั้นเองค่ะคุณลูกค้าอันนี้คือไม่มีการปรับเพิ่มแล้วนะถ้าอย่างประกันตัวอื่นเนาะก็คือเขาจะปรับเพิ่มตามช่วงอายุยิ่งอายุเยอะความเสี่ยงเยอะแบบเนี้ยค่ะคุณลูกค้าเขาก็จะมีการปรับเพิ่ม","And with this one, the customer can choose to save for 5 years, 10 years, 20 years. The maximum is not a problem. At the end of the contract, you will receive the money back. 500,000 baht including benefits back. This project. Customers, we have protection for you for a long time, up to 90 years. It's like you're doing it alone, customers, but you have continuous protection. It's like we're saving for ourselves. If there's nothing wrong with it, you get the lump sum money back. And another thing about our project, this customer, there is no increase. The savings rate will be a constant rate until the end of the contract. Suppose that Customer Aom adjusts this project for 20 years, as at present, the age is 34. Is the year correct? By savings, if it's a capital of 500,000 baht, the customer will be at 1,000 baht per month, only 485 baht. Customer, this means there is no additional adjustment. If it's another type of insurance, it's him. It will be increased according to age. The older you get, the more risk there is. Customers will also have to increase the amount.",NA
333.3,366.4,"แต่ตอนนี้ก็คือไม่มีการปรับเพิ่มแล้วนะคะเป็นเบี้ยคงที่สมมุติว่าคุณลูกค้าออมกับโครงการตัวนี้ 20 ปีคุณลูกค้าออมอยู่ที่ 350,000 บาทแต่ถ้าไม่เป็นอะไรก็คือรับกลับ 5 แสนค่ะคุณลูกค้าตัวนี้เหมือนเราเก็บออมไว้ปกตินะคะแล้วได้ผลกำไรตอบแทนไปในตัวหรือไม่เป็นอะไรก็รับเป็นก้อนกลับคืนไปหรือตัวผู้ตรวจเจอค่ะคุณลูกค้าก็รับเป็นก้อนไปดูแลรักษาตัวเองได้เลยแบบนี้ค่ะตัวนี้ก็ไม่เกิน 10 วันทำการเรามีลูกเล่นกรมธรรม์นะคะจะส่งให้กับคุณลูกค้าได้ตรวจสอบผลประโยชน์อีกครั้งนึงค่ะวันนี้เจอกันเลยอยากเรียนเชิญเก็บออมไปด้วยกันค่ะคุณลูกค้าถ้าเป็นเรทประมาณนี้พอได้ไหมคะ","But right now, there is no further increase. It's a fixed premium. Suppose that the customer saves with this project. For 20 years, the customer's savings is 350,000 baht. But if nothing happens, he or she will receive 5 hundred thousand back for this customer. It's like we save normally and get a profit in return. Or it doesn't matter, we can take it back as a lump sum or if the detector finds it, the customer can take it as a lump sum to take care of themselves like this. This one is No more than 10 business days. We have policy features and will send them to customers so that they can check the benefits one more time. We'll meet today, so I'd like to invite you to save together, customers. If it's a rate like this, is that enough?",NA
371.4,388.5,"อันนี้คือเราเลือกแบบว่าจะเอากี่ปีใช่ไหมคะใช่ค่ะคุณลูกค้ามันถ้าสมมุติว่าในส่วนของ 20 ปีเนาะคุณลูกค้าทุน 500,000 บาทมันจะตกอยู่ที่เดือนละ 1,485 บาทเท่านั้นสมมุติว่าคุณลูกค้าจะเอา 5 ปีเนาะนะคะมันอ่าทุน 500,000 บาทเหมือนกันแต่ว่าเรทการออมมันก็จะสูงกว่า","This is, we choose how many years to take, right? Yes, the customer. If we assume that in 20 years, the customer has a capital of 500,000 baht, it will fall to only 1,485 baht per month. Suppose that the customer will take 5 This year, the capital cost is 500,000 baht as well, but the savings rate will be higher.","This is where we choose how many years, isn't it? Yes, customers, if you assume the 20-year portion, customers with 500,000 baht capital will pay only 1,485 baht per month. Suppose the customer wants 5 years, with the same 500,000 baht capital, but the savings rate will be higher."
390.5,420.8,แต่ว่าโครงการตัวเนี้ยถ้าหากว่าในระหว่างทางจำเป็นนะคะก็ต้องใช้ตังค์แบบนี้สมมุติว่าอันนี้แหละทำได้หลัง 2 ปี 1 วันเป็นต้นไปนะคะสมมุติว่าออมมาได้สัก 5 ปีเนาะจำเป็นต้องการใช้เงินแบบเนี้ยค่ะคุณลูกค้าค่ะอ่ะทำได้ 2 กรณี 1 เว่นขึ้นเงินสดปิดจบโครงการอันนี้คือไม่แนะนำเนาะเพราะว่าอ่าสัญญาก็จะจบไปคุณลูกค้าก็จะไม่มีความคุ้มครองต่อและอีกอย่างคุณลูกค้าก็จะได้เงินตามท้ายตารางกรมธรรม์นะปีนั้นๆด้วยนะคะคุณลูกค้า,"But for this project, if necessary along the way, you must use money like this. Suppose that this can be done after 2 years and 1 day onwards. Suppose that you have saved for 5 years, it is necessary to use this kind of money. Dear customer, you can do this in 2 cases. 1. Cash in and close the project. This is not recommended because the contract will end and the customer will have no further coverage. And besides, the customer will receive the money according to the policy table. That year too, customers.",NA
422.1,453.5,ใช่แต่ว่าจะน้อยกว่าที่คุณลูกค้าจะออมเข้ามานะคะและกรณีที่ 2 ก็คือจะเป็นการกู้กรมธรรม์ของตัวเองตัวนี้คือจะได้ 80-90% นะปีนั้นๆเลยนะคะแต่ว่าจะมีดอกเบี้ย 5-8% ต่อปีเท่านั้นค่ะคุณลูกค้าซึ่งน้อยจะกว่าที่เราไปกู้นะคะธนาคารหรือว่ากู้บัตรเครดิตดีนะคะแต่ตัวนี้ก็คือความคุ้มครองยังมีการต่อเนื่องให้เรื่อยๆไม่ได้หมดไปใช่ซึ่งตัวนี้มันเป็นเงินเก็บเงินออมให้กับเราค่ะคุณลูกค้า,"Yes, but it will be less than what the customer will save. And in the second case, it will be borrowing from their own insurance policy. This one will get 80-90% for that year, but there will be 5-8% interest. per year only, customers, which is less than what we borrow from the bank or get a credit card loan. But this one is that the protection is still continuous, it doesn't run out. That's what this is. Savings money for us, customers.",NA
455.1,460.9,"วันนี้เลยอยากเรียนเชิญเก็บออมไปด้วยกันค่ะคุณลูกค้าถ้าเป็นเรทประมาณนี้ 1,485 บาทอันนี้พอไหวอยู่เนาะ","Today, I'd like to invite you to save together, customers. If it's a rate like this, 1,485 baht, this is enough to handle.","Today I'd like to invite you to save together, dear customer. If it's a rate around this, 1,485 baht, will this be okay?"
469.3,477.0,"85 บาทใช่ค่ะอันนี้คือทุน 500,000 อันนี้ไหวไหมหรือว่าน้อยไปไหมถ้าเป็นตัวนี้ 20 ปีค่ะคุณลูกค้า","85 baht, yes, this is a capital of 500,000. Is this okay or is it too little? If it's 20 years, customers.","85 baht is correct, ma'am. This is a fund of 500,000. Is this enough or is it too little if it's this amount for 20 years, customer?"
477.9,488.5,ส่งพยาบาลสบายๆเรื่อยๆค่ะคุณลูกค้าอย่างน้อยค่ะคุณลูกค้าอายุ 56 เนาะเราก็ยังมีความคุ้มครองดีกว่าเรามาทำตอนที่เราอายุเยอะแล้วแล้วอีกอย่างเบี้ยประกันมันแพงมากแบบเนี้ยค่ะ,"Sending nurses with ease, at least the customer is 56 years old. We still have better coverage than if we got it when we were older. Plus, the insurance premiums are very expensive like this.",Send nurses comfortably on and on dear customer at least dear customer aged 56 years old we still have better coverage than we come to do when we are older and another thing insurance premiums are very expensive like this
490.9,493.7,อย่างน้อยเราส่งไปเรื่อยๆค่ะคุณลูกค้าเก็บออมให้กับตัวเอง,"At least we keep sending, customers save for themselves.","At least we keep sending it gradually, dear customer, save for yourself"
499.6,500.9,หรือว่าตรงนี้สูงไปไหม,Or is this place too high?,Or is this too high?
504.7,505.0,เดี๋ยว,wait a minute,soon
508.4,509.6,ขอคิดดูก่อนค่ะ,Let me think about it first.,Let me think first.
510.7,513.7,อันนี้ติดปัญหาในด้านใดหรือว่ามีข้อกังวลใจในส่วนไหนไหมคะ,Does this have any problems or are there any concerns?,This concerns any issues or worries you may have.
515.3,559.7,"สอบถามเพิ่มเติมได้นะจริงๆเนื้อตาไม่อยากให้พลาดโครงการตัวนี้ไปค่ะคุณลูกค้าอย่างน้อยๆเหมือนประกันสังคมคุณลูกค้าก็มีการส่งอยู่ปกติอยู่แล้วถูกต้องไหมนะคะอันนี้เยอะกว่าประกันสังคมนิดนึงค่ะคุณลูกค้าแต่ว่ามันมีกำหนดสัญญา 20 ปีเท่านั้นแต่ตัวนั้นหากคุณลูกค้าต้องจ่ายไปจนกว่าเกษียณ 55 ปีและอีกอย่างคุ้มครองกรณีเสียชีวิตอยู่ที่ 100,000 บาทเท่านั้นเองนะคะและกว่าคุณลูกค้าจะได้เงินคืนก็คืออายุ 60 กว่าเลยนะคะเหมือนแบบแล้วก็ได้เป็นบำนาญเนาะแต่ตัวนี้อย่างน้อยค่ะคุณลูกค้า 20 ปีเท่านั้นนะจดสัญญานะคะไม่มีการต่อเลยและอีกอย่างมีความคุ้มครองจนถึง 5 แสนอีกด้วยแบบนี้ค่ะเลยมีเรื่องให้ภาควงการตอนนี้ไปอย่างน้อยเป็นเก็บออมให้กับตัวเองค่ะคุณลูกค้า","You can ask for more information. I really don't want you to miss out on this project, customers. At least like Social Security, you already have regular payments. Is that correct? This is a little more than Social Security. The customer says that there is only a 20-year contract, but that, if the customer has to pay until retirement is 55 years old, and another thing, the protection in case of death is only 100,000 baht, and until the customer gets the money back, they will be over 60 years of age. It's like the model and you can get a pension, but this one is at least 20 years, customers. The contract is signed, there's no extension, and besides, there's protection up to 500,000 baht. Like this, so there's something for the industry. Now go at least save for yourself, customers.",NA
560.6,563.6,อย่างปัจจุบันตอนนี้คุณลูกค้ามีการลดหย่อนภาษีแต่ละปีไหม,"At present, do customers get a tax deduction each year?","Currently, do customers have tax deductions each year?"
565.4,566.6,ไม่ได้ทำค่ะ,I didn't do it.,"No, I did not do it."
567.1,578.2,ยังไม่ได้มีการลดหย่อนเนอะไม่เป็นไรค่ะคุณลูกค้าถ้าหากว่าอนาคตมีการลดหย่อนภาษีค่ะคุณลูกค้ามีการยื่นภาษีเนาะคุณลูกค้าเอาครัวโครงการตัวนี้ไปลดหย่อนภาษีเพิ่มเติมได้อีกด้วยค่ะคุณลูกค้า,"There hasn't been a tax deduction yet. It's okay, customers. If there is a tax deduction in the future, you have already filed taxes. You can use this kitchen project to receive additional tax deductions as well, customers.","There hasn't been any tax deduction yet, it's okay Ms/Mr. Customer. If there is a tax deduction in the future, Ms/Mr. Customer has filed taxes, Ms/Mr. Customer can use this project to get additional tax deductions as well, Ms/Mr. Customer."
580.2,593.2,ใช่ไม่เกิน 10 วันทำการค่ะเรามีลูกเล่นกรมธรรม์จัดส่งให้ค่ะคุณลูกค้าปกติแล้วเอกสารสำคัญจะส่งที่ทำงานหรือว่าที่บ้านค่ะหรือว่ายังอยู่ที่เดิมไหมแขวงหัวหมากเขตบางกะปิค่ะกรุงเทพมหานคร,"Yes, no more than 10 business days. We have delivery policy features for customers. Normally, important documents will be sent at work or at home, or are they still at the same place? Hua Mak Subdistrict, Bang Kapi District, Bangkok.","Yes, not more than 10 working days, we have a policy document to send to you, dear customer. Normally, important documents will be sent to the workplace or home, or is it still at the same place, Hua Mak Sub-district, Bang Kapi District, Bangkok?"
596.7,599.2,อันนี้อัพเดทเลขที่ตั้งนิดนึงค่ะคุณลูกค้า,"This one updates the location number a bit, customers.",This is an update of the address number a little bit for the customer.
603.6,606.6,39 pn แก๊ส,39 pn gas,39 LPG gas
607.8,608.5,39,39,39
610.4,610.6, ค่ะ,yes,Yes (polite particle used by females)
612.5,614.9,39 PM แก๊สหมู่บ้าน,39 PM Village Gas,39 PM Village gas
616.0,616.7,สวน,garden,garden
619.8,626.4,ซอย 6 60 รามคำแหง,Soi 6 60 Ramkhamhaeng,Soi 6 60 Ramkhamhaeng
627.8,627.9,6,6,6
629.5,630.3,60 ค่ะ,It's 60.,Sixty
630.9,632.2,หมู่บ้านสวนใช่ไหมคะ,Is it a garden village?,"Village garden, isn't it?"
634.8,635.8,เป็นถนนอะไรนะคะ,What kind of road is it?,What road is this?
636.2,640.7,ถนนรามคำแหงค่ะรามคำแหง,"Ramkhamhaeng Road, Ramkhamhaeng",Ram Khamhaeng Road.
644.3,648.7,ค่ะแล้วก็รหัสไปรษณีย์ 10240 ถูกต้องไหมคะตัวนี้,"Yes, and the zip code is 10240. Is this correct?",OK and is zip code 10240 correct?
650.6,655.8,ค่ะอันนี้ที่อยู่ปัจจุบันขออภัยค่ะที่อยู่ตามทะเบียนบ้านกับที่อยู่ตรงนี้ที่เดียวกันไหมคะ,"Yes, this is the current address. Sorry, is the address on the house registration and the address here the same place?","Excuse me, this is the current address. Sorry, is the address according to the house registration the same as this address?"
657.7,658.3,ไม่ค่ะ,no,No
658.9,661.9,เป็นคนละที่เนาะสะดวกแจ้งไหมหรือว่าให้ลงบัญชีเดียวกัน,It's a different place. Is it convenient for me to report this or should I post it in the same account?,Is it convenient to separate or put on the same bill?
666.9,669.1,อันนี้สะดวกแจ้งไหมคะ,Is this convenient?,Is this convenient to report?
672.1,672.6,ถ้า,if,If
674.1,683.9,มันต้องส่งส่งวันที่กรุงเทพฯใช่ไหมคะใช่ค่ะคุณลูกค้าอะไรไม่เป็นไร,"It has to be sent in Bangkok, right? Yes, it's okay for the customer.","It must be sent the date to Bangkok, right? Yes, dear customer, no problem."
684.9,685.1,เนาะ,No.,Naw
687.0,689.3,เป็น 10/1 หมู่ 5 นะคะ,It's 10/1 Village No. 5.,It's 10/1 Village No. 5
690.2,690.5,ค่ะ,yes,Polite particle
691.0,693.6,ตำบลหนองหลวงอำเภอโนนอากาศจังหวัดเลย,"Nong Luang Subdistrict, Non Akat District, Loei Province","Nong Luang Subdistrict, Non Ak Sat District, Loei Province"
694.3,695.5,จังหวัดสุรินทร์,Surin Province,Surin Province
697.9,700.3,เป็นอำเภออะไรนะคะ,What district is it?,What district is it?
703.4,705.1,แล้วก็ตำบลค่ะ,And then the sub-district,And subdistrict.
705.8,711.0,หนองหลวงหนองหลวงรหัสไปรษณีย์ค่ะคุณลูกค้า,"Nong Luang, Nong Luang, zip code, customers.",Nong Luang Nong Luang postal code for customer
713.1,725.6,32130 โอเคค่ะแล้วก็ที่อยู่ที่ทำงานอันนี้สะดวกแจ้งไหมคะหรือว่าให้ลงตามที่อยู่อ๋องั้นก็ลงตามที่อยู่ที่ปัจจุบันไปก่อนเนาะ,"32130 Okay, so is this work address convenient for you to tell me? Or do you want me to get off at that address? Well, let's get off at the current address first.","32130 Okay, and is this work address convenient to notify or should I enter the other address? If so, let me enter the current address first."
727.5,743.4,ในส่วนของการเก็บออมค่ะคุณลูกค้าตัวนี้ก็ไม่ยากนะคุณลูกค้า 3 วันออมผ่านบัญชีธนาคารออมทรัพย์หรือว่าบัตรเครดิตก็ได้นะคะตัวนี้คือเชื้อราลงทะเบียนให้แล้วก็ออกเลขกรมธรรม์คุณลูกค้าก็ไปจ่ายบิลเหมือนจ่ายค่าน้ำค่าไฟปกติแบบเนี้ยค่ะคุณขา,"As for saving, this one is not difficult. You can save for 3 days through a savings bank account or a credit card. This one is a fungus. You register and issue an insurance policy number. The customer then goes and pays the bill. It's like paying regular water and electricity bills like this, sir.","As for savings, dear customer, it's not difficult. You can save for 3 days through a savings account or credit card. This is a registered fungus and a policy number will be issued. You can then pay the bills like paying for utilities as usual, dear customer."
745.2,745.8,ใช่ค่ะ,yes,Yes
748.2,750.0,ปกติเคยจ่ายค่าน้ำค่าไฟอยู่เนาะ,"Normally, I used to pay water and electricity bills.","Usually pay for water and electricity bills, right?"
750.5,786.3,ค่ะนั่นแหละเหมือนการใส่โทรศัพท์แต่ว่ามันจะมีบริษัทประกันข้างล่างก็คือตัวนี้จะให้ fw โดยตรงนะจะไม่ได้หักผ่านบัญชีของคุณลูกค้าหรือว่าจะไม่ได้อันนี้นะอันนี้คือจะพาทำทีละขั้นตอนคุณลูกค้าจะได้รู้ว่าการเก็บออมตัวนี้มันไปตรงไหนตรงไหนบ้างแบบเนี้ยค่ะค่ะแล้วก็คำนำหน้าของคุณลูกค้าตัวนี้ค่ะเป็นนางหรือว่านางสาวคะมียศมีตำแหน่งไหมเอ่ยนางสาวเนาะค่ะชื่อนะคะคุณนฤมลแสงทองจะได้ขออนุญาตสะกดทีละตัวนะคะคุณลูกค้าตัวไหนผิดแย้งได้เลยนะเพราะว่ามันเป็นผลประโยชน์ของคุณลูกค้านะคะ,"Yes, that's like inserting a phone, but there will be an insurance company below. This one will give you FW directly. It won't be deducted through the customer's account or you won't get it. This one is going to take you to do it step by step. The customer will know where this savings goes and where. Like this. And the title of this customer is Mrs. or Miss. Do you have a rank? It's Miss Nao. Your name is Mr. Narumonsaengthong. I will ask for permission to spell it one letter at a time. If you are wrong, please feel free to dispute it because it is in your interests.",NA
788.0,803.3,ค่ะจะเป็นอ่านรึมม้าลลิงนะคะนามสกุลสระแอค่ะสเสืองงูททหารออ่างงงูนะคะค่ะแล้วก็สถานภาพตรงนี้เป็นสูตรหรือว่าสมรสคะ,"Yes, it will be Khun Rum Ma Ling. The surname has the vowel Ae, Saeng Ngu, Tha Khao, Ang Ngu. And this status is whether it's a formula or married.","Well, will it be read or marling please? Surname with Sura A please Sung gu soldier out-ang-gu please please and this status is a formula or married?"
806.2,807.2,ไม่ได้สมรสค่ะ,I'm not married.,Not married
809.6,812.9,ไม่เป็นไรค่ะก็คือแต่งงานไม่ได้จดทะเบียนแบบนี้ใช่ไหมคะ,"It doesn't matter. The marriage was not registered like this, right?","It's okay, it just means getting married without registering like this, right?"
816.0,818.0,หมื่นเป็นหมื่นเจ็ดเนาะ,Ten thousand is ten thousand and seventeen.,ten thousand is indeed ten thousand seven
820.2,820.9,ได้ค่ะ,okay,Okay
825.7,830.6,แล้วก็ตัวนี้ค่ะคุณลูกค้าสถานที่เกิดค่ะคุณลูกค้าตัวนี้เป็นจังหวัดไหนคะ,"And this one, customer, place of birth. What province is this customer?","Then this one, customer, place of birth, customer, which province is this one?"
840.0,844.6,ท่านเป็นผู้มีถิ่นที่อยู่ทางภาษีเฉพาะในประเทศไทยใช่หรือไม่คะตัวนี้,Are you a tax resident only in Thailand?,Are you a tax resident only in Thailand or not?
846.7,847.5,ขอบคุณค่ะ,thank you,Thank you
